Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-27 11:43:16,2019-02-27 11:44:10,"54,126s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-27 11:43:16,2019-02-27 11:44:10,"53,057s",FAILED
"startApplication(""C:\\Users\\MSA-testautomation\\59.apk"", false, CONTINUE_ON_FAILURE)",,,2019-02-27 11:43:17,2019-02-27 11:44:09,"52,424s",FAILED
"verifyElementExist(findTestObject(""Prelogin elements/Benvenuto in MySkyApp""), 0)",,,2019-02-27 11:44:09,2019-02-27 11:44:10,"0,124s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_2_FUNCTIONALITY_Accedi,,Tap su accedi,2019-02-27 11:44:10,2019-02-27 11:44:10,"0,411s",FAILED
"tap(findTestObject(""CTA/ACCEDI""), 0)",,,2019-02-27 11:44:10,2019-02-27 11:44:10,"0,044s",FAILED
