Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-26 18:02:00,2019-02-26 18:03:15,"1m - 14,875s",PASSED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-26 18:02:00,2019-02-26 18:02:30,"29,784s",PASSED
"startApplication(""C:\Users\MSA-testautomation\59.apk"", false)",,,2019-02-26 18:02:01,2019-02-26 18:02:30,"29,185s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_3_NAVIGATION_GTV_DTH_Wi-Fi,,Dalla homepage atterro nella sezione di Guida Tv ed effettuo un controolo sulla label della top bar.,2019-02-26 18:02:30,2019-02-26 18:02:42,"11,785s",PASSED
"tap(findTestObject(""Bottom Bar Elements/Guida TV""), 0)",,,2019-02-26 18:02:30,2019-02-26 18:02:36,"5,451s",PASSED
delay(5),,,2019-02-26 18:02:36,2019-02-26 18:02:41,"5,037s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/GUIDA TV""), 0)",,,2019-02-26 18:02:41,2019-02-26 18:02:42,"0,941s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_2_NAVIGATION_Hero_DTH_Wi-Fi,,Controllo degli elementi presenti nel contenuto in evidenza.,2019-02-26 18:02:42,2019-02-26 18:02:44,"2,419s",PASSED
"verifyElementAttributeValue(findTestObject(""Guida Tv/Hero Elements/Immagine""), ""resource-id"", ""it.sky.msa:id/heroImageImageView"", 0)",,Check se esite l'immagine del contenuto in evidenza.,2019-02-26 18:02:42,2019-02-26 18:02:43,"0,475s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Hero Elements/IN EVIDENZA""), ""IN EVIDENZA"")",,"Check se esite la label ""IN EVIDENZA""",2019-02-26 18:02:43,2019-02-26 18:02:43,"0,473s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Titolo del contenuto""), 0)",,Verifica che esiste il titolo del contenuto in evidenza.,2019-02-26 18:02:43,2019-02-26 18:02:44,"0,378s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,Verifica che è presente la programmazione del contenuto.,2019-02-26 18:02:44,2019-02-26 18:02:44,"0,338s",PASSED
"getText(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,,2019-02-26 18:02:44,2019-02-26 18:02:44,"0,418s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_4_NAVIGATION_SceltiPerTeQuestaSettimana_DTH_Wi-Fi,,"Navigazione della sezione ""Scelti per te questa settimana""",2019-02-26 18:02:44,2019-02-26 18:03:08,"23,742s",PASSED
"swipe(0, 1000, 0, 200)",,,2019-02-26 18:02:45,2019-02-26 18:02:47,"2,468s",PASSED
"tapAtPosition(500, 600)",,,2019-02-26 18:02:47,2019-02-26 18:02:49,"1,718s",PASSED
"getText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0)",,,2019-02-26 18:02:49,2019-02-26 18:03:02,"12,976s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), ""Scelti per te questa settimana"")",,,2019-02-26 18:03:02,2019-02-26 18:03:02,"0,445s",PASSED
"swipe(0, 0, 100, 0)",,,2019-02-26 18:03:02,2019-02-26 18:03:05,"2,490s",PASSED
delay(0),,,2019-02-26 18:03:05,2019-02-26 18:03:05,"0,004s",PASSED
"swipe(0, 0, -100, 0)",,,2019-02-26 18:03:05,2019-02-26 18:03:07,"2,498s",PASSED
"print(getElementHeight(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0))",,,2019-02-26 18:03:07,2019-02-26 18:03:08,"0,467s",PASSED
"print(getElementWidth(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0))",,,2019-02-26 18:03:08,2019-02-26 18:03:08,"0,364s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_5_FUNCTIONALITY_VediTutti_DTH_Wi-Fi,,"Verificare la funzionalità della CTA "" Vedi tutti""",2019-02-26 18:03:08,2019-02-26 18:03:14,"6,054s",PASSED
"text = getText(findTestObject(""Guida Tv/Section Elements/Sezione programmazione""), 0)",,,2019-02-26 18:03:08,2019-02-26 18:03:09,"0,501s",PASSED
"tap(findTestObject(""Guida Tv/Section Elements/Vedi tutti""), 0)",,"Tap sulla CTA ""Vedi tutti"".",2019-02-26 18:03:09,2019-02-26 18:03:10,"1,234s",PASSED
"verifyElementText(findTestObject(""Subsection Elements/Subsection title""), text)",,,2019-02-26 18:03:10,2019-02-26 18:03:10,"0,365s",PASSED
delay(2),,,2019-02-26 18:03:10,2019-02-26 18:03:12,"2,001s",PASSED
"tap(findTestObject(""Subsection Elements/Back button""), 0)",,,2019-02-26 18:03:12,2019-02-26 18:03:14,"1,682s",PASSED
