Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginCorretta,,,2019-02-28 15:59:49,2019-02-28 16:01:19,"1m - 30,584s",FAILED
,,,,,,
Test Cases/Utilites/Utilities_2_FUNCTIONALITY_StartAppUnLogged,,,2019-02-28 15:59:49,2019-02-28 16:00:13,"23,703s",FAILED
startApplication,,Start application,2019-02-28 15:59:49,2019-02-28 16:00:12,"22,963s",PASSED
waitForElementPresent,,Check label Benvenuti in MySkyApp,2019-02-28 16:00:12,2019-02-28 16:00:13,"0,390s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_Accedi,,Tap su accedi,2019-02-28 16:00:13,2019-02-28 16:00:15,"2,246s",FAILED
tap,,Tap accedi,2019-02-28 16:00:13,2019-02-28 16:00:15,"2,026s",FAILED
,,,,,,
Test Cases/Login/Login_1_LOGIN_Correct,,,2019-02-28 16:00:15,2019-02-28 16:01:19,"1m - 3,858s",FAILED
tap,,,2019-02-28 16:00:15,2019-02-28 16:01:19,"1m - 3,654s",FAILED
