Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-27 15:09:39,2019-02-27 15:11:25,"1m - 46,128s",PASSED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartAppLogged,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-27 15:09:39,2019-02-27 15:10:11,"32,248s",PASSED
"startApplication(""C:\\Users\\MSA-testautomation\\59.apk"", false, CONTINUE_ON_FAILURE)",,Start app MSA con utente già loggato.,2019-02-27 15:09:40,2019-02-27 15:10:08,"28,512s",PASSED
"verifyElementExist(findTestObject(""Bottom Bar Elements/Home""), 30)",,Verifica la presenza dell'icona Home nella bottom bar.,2019-02-27 15:10:08,2019-02-27 15:10:11,"3,203s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_3_NAVIGATION_GTV,,Dalla homepage atterro nella sezione di Guida Tv ed effettuo un controolo sulla label della top bar.,2019-02-27 15:10:11,2019-02-27 15:10:43,"32,267s",PASSED
"tap(findTestObject(""Bottom Bar Elements/Guida TV""), 60)",,Effettua tap sulla icona di Guida Tv nella bottom bar.,2019-02-27 15:10:12,2019-02-27 15:10:13,"1,602s",PASSED
"waitForElementPresent(findTestObject(""Guida Tv/Hero Elements/Immagine""), 30)",,,2019-02-27 15:10:13,2019-02-27 15:10:43,"30,027s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/GUIDA TV""), 30)",,Check sulla label GUIDA TV nella top bar.,2019-02-27 15:10:43,2019-02-27 15:10:43,"0,348s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_1_NAVIGATION_TOPBAR,,Navigazione delle sezioni presenti nella homepage di Guida Tv. Check della sezione di Programmazione e della sezione di Sky On Demand.,2019-02-27 15:10:44,2019-02-27 15:11:20,"36,027s",PASSED
"waitForElementPresent(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 30)",,Load della sezione Scelti per te questa settimana.,2019-02-27 15:10:44,2019-02-27 15:11:14,"30,049s",PASSED
"verifyElementExist(findTestObject(""Navigation Bar Elements/Programmazione""), 30)",,Verifica della label Programmazione.,2019-02-27 15:11:14,2019-02-27 15:11:14,"0,273s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/Profile""), 30)",,Verifica della icona di Profile nella top bar.,2019-02-27 15:11:14,2019-02-27 15:11:14,"0,330s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/Search""), 30)",,Verifica della icona di Search nella top bar.,2019-02-27 15:11:14,2019-02-27 15:11:15,"0,329s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/Assistenza""), 30)",,Verifica della icona di Assistenza nella top bar.,2019-02-27 15:11:15,2019-02-27 15:11:15,"0,301s",PASSED
"verifyElementText(findTestObject(""Top Bar elements/GUIDA TV""), ""GUIDA TV"")",,Verifica del title (Guida Tv) della top bar.,2019-02-27 15:11:15,2019-02-27 15:11:15,"0,380s",PASSED
"tap(findTestObject(""Navigation Bar Elements/Sky On Demand""), 60)",,Tap nella section di Sky On Demand.,2019-02-27 15:11:15,2019-02-27 15:11:17,"1,235s",PASSED
"waitForElementPresent(findTestObject(""Guida Tv/Section Elements/SCELTI PER TE""), 30)",,Load della sezione SCELTI PER TE.,2019-02-27 15:11:17,2019-02-27 15:11:17,"0,751s",PASSED
"verifyElementExist(findTestObject(""Navigation Bar Elements/Sky On Demand""), 30)",,Verifica della label Sky On Demand.,2019-02-27 15:11:17,2019-02-27 15:11:18,"0,285s",PASSED
"tap(findTestObject(""Navigation Bar Elements/Programmazione""), 60)",,"Effettuo un tap nella sezione Programmazione.
",2019-02-27 15:11:18,2019-02-27 15:11:19,"1,568s",PASSED
"waitForElementPresent(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 30)",,Load della sezione Scelti per te questa settimana.,2019-02-27 15:11:19,2019-02-27 15:11:20,"0,288s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_2_NAVIGATION_Hero,,Controllo degli elementi presenti nel contenuto in evidenza.,2019-02-27 15:11:20,2019-02-27 15:11:21,"1,891s",PASSED
"verifyElementAttributeValue(findTestObject(""Guida Tv/Hero Elements/Immagine""), ""resource-id"", ""it.sky.msa:id/heroImageImageView"", 60)",,Verifica se esite l'immagine del contenuto in evidenza.,2019-02-27 15:11:20,2019-02-27 15:11:20,"0,436s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Hero Elements/IN EVIDENZA""), ""IN EVIDENZA"")",,"Verifica se esite la label ""IN EVIDENZA""",2019-02-27 15:11:20,2019-02-27 15:11:21,"0,375s",PASSED
