Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-26 14:42:39,2019-02-26 14:43:30,"51,851s",PASSED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-26 14:42:39,2019-02-26 14:43:07,"28,268s",PASSED
"startApplication(""C:\Users\MSA-testautomation\59.apk"", false)",,,2019-02-26 14:42:40,2019-02-26 14:43:07,"27,739s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_3_NAVIGATION_GTV_DTH_Wi-Fi,,Dalla homepage atterro nella sezione di Guida Tv ed effettuo un controolo sulla label della top bar.,2019-02-26 14:43:07,2019-02-26 14:43:19,"11,318s",PASSED
"tap(findTestObject(""Bottom Bar Elements/Guida TV""), 0)",,,2019-02-26 14:43:08,2019-02-26 14:43:12,"4,594s",PASSED
delay(5),,,2019-02-26 14:43:12,2019-02-26 14:43:17,"5,035s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/GUIDA TV""), 0)",,,2019-02-26 14:43:17,2019-02-26 14:43:19,"1,421s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_2_NAVIGATION_Hero_DTH_Wi-Fi,,Controllo degli elementi presenti nel contenuto in evidenza.,2019-02-26 14:43:19,2019-02-26 14:43:21,"2,541s",PASSED
"verifyElementAttributeValue(findTestObject(""Guida Tv/Hero Elements/Immagine""), ""resource-id"", ""it.sky.msa:id/heroImageImageView"", 0)",,Check se esite l'immagine del contenuto in evidenza.,2019-02-26 14:43:19,2019-02-26 14:43:19,"0,514s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Hero Elements/IN EVIDENZA""), ""IN EVIDENZA"")",,"Check se esite la label ""IN EVIDENZA""",2019-02-26 14:43:19,2019-02-26 14:43:20,"0,511s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Titolo del contenuto""), 0)",,Verifica che esiste il titolo del contenuto in evidenza.,2019-02-26 14:43:20,2019-02-26 14:43:20,"0,380s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,Verifica che è presente la programmazione del contenuto.,2019-02-26 14:43:20,2019-02-26 14:43:21,"0,377s",PASSED
"getText(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,,2019-02-26 14:43:21,2019-02-26 14:43:21,"0,486s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_4_NAVIGATION_SceltiPerTeQuestaSettimana_DTH_Wi-Fi,,"Navigazione della sezione ""Scelti per te questa settimana""",2019-02-26 14:43:21,2019-02-26 14:43:30,"8,658s",PASSED
"swipe(0, 0, 0, 50)",,,2019-02-26 14:43:21,2019-02-26 14:43:24,"2,430s",PASSED
"getText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0)",,,2019-02-26 14:43:24,2019-02-26 14:43:24,"0,445s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), ""Scelti per te questa settimana"")",,,2019-02-26 14:43:24,2019-02-26 14:43:25,"0,432s",PASSED
"swipe(0, 0, 100, 0)",,,2019-02-26 14:43:25,2019-02-26 14:43:27,"2,529s",PASSED
delay(0),,,2019-02-26 14:43:27,2019-02-26 14:43:27,"0,001s",PASSED
"swipe(0, 0, -100, 0)",,,2019-02-26 14:43:27,2019-02-26 14:43:30,"2,551s",PASSED
