Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-26 14:59:26,2019-02-26 15:00:19,"52,901s",PASSED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-26 14:59:27,2019-02-26 14:59:56,"28,976s",PASSED
"startApplication(""C:\Users\MSA-testautomation\59.apk"", false)",,,2019-02-26 14:59:27,2019-02-26 14:59:56,"28,402s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_3_NAVIGATION_GTV_DTH_Wi-Fi,,Dalla homepage atterro nella sezione di Guida Tv ed effettuo un controolo sulla label della top bar.,2019-02-26 14:59:56,2019-02-26 15:00:07,"11,714s",PASSED
"tap(findTestObject(""Bottom Bar Elements/Guida TV""), 0)",,,2019-02-26 14:59:56,2019-02-26 15:00:00,"4,520s",PASSED
delay(5),,,2019-02-26 15:00:00,2019-02-26 15:00:05,"5,029s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/GUIDA TV""), 0)",,,2019-02-26 15:00:05,2019-02-26 15:00:07,"1,819s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_2_NAVIGATION_Hero_DTH_Wi-Fi,,Controllo degli elementi presenti nel contenuto in evidenza.,2019-02-26 15:00:07,2019-02-26 15:00:10,"2,500s",PASSED
"verifyElementAttributeValue(findTestObject(""Guida Tv/Hero Elements/Immagine""), ""resource-id"", ""it.sky.msa:id/heroImageImageView"", 0)",,Check se esite l'immagine del contenuto in evidenza.,2019-02-26 15:00:08,2019-02-26 15:00:08,"0,538s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Hero Elements/IN EVIDENZA""), ""IN EVIDENZA"")",,"Check se esite la label ""IN EVIDENZA""",2019-02-26 15:00:08,2019-02-26 15:00:09,"0,501s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Titolo del contenuto""), 0)",,Verifica che esiste il titolo del contenuto in evidenza.,2019-02-26 15:00:09,2019-02-26 15:00:09,"0,370s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,Verifica che è presente la programmazione del contenuto.,2019-02-26 15:00:09,2019-02-26 15:00:09,"0,349s",PASSED
"getText(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,,2019-02-26 15:00:09,2019-02-26 15:00:10,"0,474s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_4_NAVIGATION_SceltiPerTeQuestaSettimana_DTH_Wi-Fi,,"Navigazione della sezione ""Scelti per te questa settimana""",2019-02-26 15:00:10,2019-02-26 15:00:19,"8,816s",PASSED
"swipe(0, 200, 0, 1000)",,,2019-02-26 15:00:10,2019-02-26 15:00:13,"2,486s",PASSED
"getText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0)",,,2019-02-26 15:00:13,2019-02-26 15:00:13,"0,468s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), ""Scelti per te questa settimana"")",,,2019-02-26 15:00:13,2019-02-26 15:00:13,"0,485s",PASSED
"swipe(0, 0, 100, 0)",,,2019-02-26 15:00:13,2019-02-26 15:00:16,"2,503s",PASSED
delay(0),,,2019-02-26 15:00:16,2019-02-26 15:00:16,"0,001s",PASSED
"swipe(0, 0, -100, 0)",,,2019-02-26 15:00:16,2019-02-26 15:00:19,"2,605s",PASSED
