Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-26 17:54:38,2019-02-26 17:55:50,"1m - 11,716s",PASSED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-26 17:54:38,2019-02-26 17:55:07,"28,809s",PASSED
"startApplication(""C:\Users\MSA-testautomation\59.apk"", false)",,,2019-02-26 17:54:39,2019-02-26 17:55:07,"28,228s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_3_NAVIGATION_GTV_DTH_Wi-Fi,,Dalla homepage atterro nella sezione di Guida Tv ed effettuo un controolo sulla label della top bar.,2019-02-26 17:55:07,2019-02-26 17:55:20,"13,332s",PASSED
"tap(findTestObject(""Bottom Bar Elements/Guida TV""), 0)",,,2019-02-26 17:55:07,2019-02-26 17:55:12,"4,232s",PASSED
delay(5),,,2019-02-26 17:55:12,2019-02-26 17:55:17,"5,038s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/GUIDA TV""), 0)",,,2019-02-26 17:55:17,2019-02-26 17:55:20,"3,689s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_2_NAVIGATION_Hero_DTH_Wi-Fi,,Controllo degli elementi presenti nel contenuto in evidenza.,2019-02-26 17:55:20,2019-02-26 17:55:23,"2,428s",PASSED
"verifyElementAttributeValue(findTestObject(""Guida Tv/Hero Elements/Immagine""), ""resource-id"", ""it.sky.msa:id/heroImageImageView"", 0)",,Check se esite l'immagine del contenuto in evidenza.,2019-02-26 17:55:21,2019-02-26 17:55:21,"0,472s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Hero Elements/IN EVIDENZA""), ""IN EVIDENZA"")",,"Check se esite la label ""IN EVIDENZA""",2019-02-26 17:55:21,2019-02-26 17:55:22,"0,437s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Titolo del contenuto""), 0)",,Verifica che esiste il titolo del contenuto in evidenza.,2019-02-26 17:55:22,2019-02-26 17:55:22,"0,357s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,Verifica che è presente la programmazione del contenuto.,2019-02-26 17:55:22,2019-02-26 17:55:22,"0,364s",PASSED
"getText(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,,2019-02-26 17:55:22,2019-02-26 17:55:23,"0,455s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_4_NAVIGATION_SceltiPerTeQuestaSettimana_DTH_Wi-Fi,,"Navigazione della sezione ""Scelti per te questa settimana""",2019-02-26 17:55:23,2019-02-26 17:55:42,"19,519s",PASSED
delay(10),,,2019-02-26 17:55:23,2019-02-26 17:55:33,"10,002s",PASSED
"swipe(0, 1000, 0, 200)",,,2019-02-26 17:55:33,2019-02-26 17:55:36,"2,497s",PASSED
"getText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0)",,,2019-02-26 17:55:36,2019-02-26 17:55:36,"0,475s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), ""Scelti per te questa settimana"")",,,2019-02-26 17:55:36,2019-02-26 17:55:37,"0,405s",PASSED
"swipe(0, 0, 100, 0)",,,2019-02-26 17:55:37,2019-02-26 17:55:39,"2,461s",PASSED
delay(0),,,2019-02-26 17:55:39,2019-02-26 17:55:39,"0,002s",PASSED
"swipe(0, 0, -100, 0)",,,2019-02-26 17:55:39,2019-02-26 17:55:42,"2,529s",PASSED
"print(getElementHeight(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0))",,,2019-02-26 17:55:42,2019-02-26 17:55:42,"0,479s",PASSED
"print(getElementWidth(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0))",,,2019-02-26 17:55:42,2019-02-26 17:55:42,"0,413s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_5_FUNCTIONALITY_VediTutti_DTH_Wi-Fi,,"Verificare la funzionalità della CTA "" Vedi tutti""",2019-02-26 17:55:42,2019-02-26 17:55:49,"6,639s",PASSED
"text = getText(findTestObject(""Guida Tv/Section Elements/Sezione programmazione""), 0)",,,2019-02-26 17:55:43,2019-02-26 17:55:43,"0,563s",PASSED
"tap(findTestObject(""Guida Tv/Section Elements/Vedi tutti""), 0)",,"Tap sulla CTA ""Vedi tutti"".",2019-02-26 17:55:43,2019-02-26 17:55:44,"1,234s",PASSED
"verifyElementText(findTestObject(""Subsection Elements/Subsection title""), text)",,,2019-02-26 17:55:44,2019-02-26 17:55:45,"0,395s",PASSED
delay(2),,,2019-02-26 17:55:45,2019-02-26 17:55:47,"2,001s",PASSED
"tap(findTestObject(""Subsection Elements/Back button""), 0)",,,2019-02-26 17:55:47,2019-02-26 17:55:49,"2,203s",PASSED
