Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-26 12:09:57,2019-02-26 12:10:42,"45,730s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-26 12:09:57,2019-02-26 12:10:27,"29,461s",PASSED
"startApplication(""C:\Users\MSA-testautomation\59.apk"", false)",,,2019-02-26 12:09:58,2019-02-26 12:10:27,"28,937s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_3_NAVIGATION_GTV_DTH_Wi-Fi,,Dalla homepage atterro nella sezione di Guida Tv ed effettuo un controolo sulla label della top bar.,2019-02-26 12:10:27,2019-02-26 12:10:31,"4,628s",PASSED
"tap(findTestObject(""Bottom Bar Elements/Guida TV""), 0)",,,2019-02-26 12:10:27,2019-02-26 12:10:31,"3,655s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/GUIDA TV""), 0)",,,2019-02-26 12:10:31,2019-02-26 12:10:31,"0,641s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_2_NAVIGATION_Hero_DTH_Wi-Fi,,Controllo degli elementi presenti nel contenuto in evidenza.,2019-02-26 12:10:31,2019-02-26 12:10:42,"10,655s",FAILED
"verifyElementAttributeValue(findTestObject(""Guida Tv/Hero Elements/Immagine""), ""resource-id"", ""it.sky.msa:id/heroImageImageView"", 0)",,Check se esite l'immagine del contenuto in evidenza.,2019-02-26 12:10:32,2019-02-26 12:10:32,"0,471s",PASSED
"verifyElementChecked(findTestObject(""Guida Tv/Hero Elements/Immagine""), 0)",,Check se il contenuto in evidenza è tappabile.,2019-02-26 12:10:32,2019-02-26 12:10:42,"9,907s",FAILED
