Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-26 17:14:01,2019-02-26 17:15:03,"1m - 2,207s",PASSED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-26 17:14:01,2019-02-26 17:14:32,"30,552s",PASSED
"startApplication(""C:\Users\MSA-testautomation\59.apk"", false)",,,2019-02-26 17:14:02,2019-02-26 17:14:32,"30,025s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_3_NAVIGATION_GTV_DTH_Wi-Fi,,Dalla homepage atterro nella sezione di Guida Tv ed effettuo un controolo sulla label della top bar.,2019-02-26 17:14:32,2019-02-26 17:14:43,"10,947s",PASSED
"tap(findTestObject(""Bottom Bar Elements/Guida TV""), 0)",,,2019-02-26 17:14:32,2019-02-26 17:14:37,"4,453s",PASSED
delay(5),,,2019-02-26 17:14:37,2019-02-26 17:14:42,"5,029s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/GUIDA TV""), 0)",,,2019-02-26 17:14:42,2019-02-26 17:14:43,"1,190s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_2_NAVIGATION_Hero_DTH_Wi-Fi,,Controllo degli elementi presenti nel contenuto in evidenza.,2019-02-26 17:14:43,2019-02-26 17:14:45,"2,547s",PASSED
"verifyElementAttributeValue(findTestObject(""Guida Tv/Hero Elements/Immagine""), ""resource-id"", ""it.sky.msa:id/heroImageImageView"", 0)",,Check se esite l'immagine del contenuto in evidenza.,2019-02-26 17:14:43,2019-02-26 17:14:44,"0,487s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Hero Elements/IN EVIDENZA""), ""IN EVIDENZA"")",,"Check se esite la label ""IN EVIDENZA""",2019-02-26 17:14:44,2019-02-26 17:14:44,"0,496s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Titolo del contenuto""), 0)",,Verifica che esiste il titolo del contenuto in evidenza.,2019-02-26 17:14:44,2019-02-26 17:14:44,"0,418s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,Verifica che è presente la programmazione del contenuto.,2019-02-26 17:14:44,2019-02-26 17:14:45,"0,428s",PASSED
"getText(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,,2019-02-26 17:14:45,2019-02-26 17:14:45,"0,442s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_4_NAVIGATION_SceltiPerTeQuestaSettimana_DTH_Wi-Fi,,"Navigazione della sezione ""Scelti per te questa settimana""",2019-02-26 17:14:45,2019-02-26 17:14:55,"9,487s",PASSED
"swipe(200, 300, 400, 600)",,,2019-02-26 17:14:46,2019-02-26 17:14:48,"2,564s",PASSED
"getText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0)",,,2019-02-26 17:14:48,2019-02-26 17:14:48,"0,407s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), ""Scelti per te questa settimana"")",,,2019-02-26 17:14:48,2019-02-26 17:14:49,"0,393s",PASSED
"swipe(0, 0, 100, 0)",,,2019-02-26 17:14:49,2019-02-26 17:14:51,"2,501s",PASSED
delay(0),,,2019-02-26 17:14:51,2019-02-26 17:14:51,"0,002s",PASSED
"swipe(0, 0, -100, 0)",,,2019-02-26 17:14:51,2019-02-26 17:14:54,"2,465s",PASSED
"print(getElementHeight(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0))",,,2019-02-26 17:14:54,2019-02-26 17:14:54,"0,488s",PASSED
"print(getElementWidth(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0))",,,2019-02-26 17:14:54,2019-02-26 17:14:55,"0,463s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_5_FUNCTIONALITY_VediTutti_DTH_Wi-Fi,,"Verificare la funzionalità della CTA "" Vedi tutti""",2019-02-26 17:14:55,2019-02-26 17:15:02,"7,644s",PASSED
"text = getText(findTestObject(""Guida Tv/Section Elements/Sezione programmazione""), 0)",,,2019-02-26 17:14:55,2019-02-26 17:14:56,"0,532s",PASSED
"tap(findTestObject(""Guida Tv/Section Elements/Vedi tutti""), 0)",,"Tap sulla CTA ""Vedi tutti"".",2019-02-26 17:14:56,2019-02-26 17:14:57,"1,414s",PASSED
"verifyElementText(findTestObject(""Subsection Elements/Subsection title""), text)",,,2019-02-26 17:14:57,2019-02-26 17:14:59,"2,106s",PASSED
delay(2),,,2019-02-26 17:14:59,2019-02-26 17:15:01,"2,001s",PASSED
"tap(findTestObject(""Subsection Elements/Back button""), 0)",,,2019-02-26 17:15:01,2019-02-26 17:15:02,"1,367s",PASSED
