Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-27 10:15:48,2019-02-27 10:16:41,"53,776s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-27 10:15:48,2019-02-27 10:16:41,"52,433s",FAILED
"startApplication(""C:\Users\MSA-testautomation\59.apk"", false)",,,2019-02-27 10:15:49,2019-02-27 10:16:41,"51,843s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_2_FUNCTIONALITY_Accedi,,Tap su accedi,2019-02-27 10:16:41,2019-02-27 10:16:41,"0,587s",FAILED
"tap(findTestObject(""CTA/ACCEDI""), 0)",,,2019-02-27 10:16:41,2019-02-27 10:16:41,"0,194s",FAILED
