Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-26 14:04:06,2019-02-26 14:04:52,"45,538s",PASSED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-26 14:04:07,2019-02-26 14:04:38,"31,282s",PASSED
"startApplication(""C:\Users\MSA-testautomation\59.apk"", false)",,,2019-02-26 14:04:07,2019-02-26 14:04:38,"30,754s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_3_NAVIGATION_GTV_DTH_Wi-Fi,,Dalla homepage atterro nella sezione di Guida Tv ed effettuo un controolo sulla label della top bar.,2019-02-26 14:04:38,2019-02-26 14:04:49,"10,766s",PASSED
"tap(findTestObject(""Bottom Bar Elements/Guida TV""), 0)",,,2019-02-26 14:04:38,2019-02-26 14:04:43,"4,250s",PASSED
delay(5),,,2019-02-26 14:04:43,2019-02-26 14:04:48,"5,075s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/GUIDA TV""), 0)",,,2019-02-26 14:04:48,2019-02-26 14:04:49,"1,158s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_2_NAVIGATION_Hero_DTH_Wi-Fi,,Controllo degli elementi presenti nel contenuto in evidenza.,2019-02-26 14:04:49,2019-02-26 14:04:52,"2,593s",PASSED
"verifyElementAttributeValue(findTestObject(""Guida Tv/Hero Elements/Immagine""), ""resource-id"", ""it.sky.msa:id/heroImageImageView"", 0)",,Check se esite l'immagine del contenuto in evidenza.,2019-02-26 14:04:49,2019-02-26 14:04:50,"0,553s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Hero Elements/IN EVIDENZA""), ""IN EVIDENZA"")",,"Check se esite la label ""IN EVIDENZA""",2019-02-26 14:04:50,2019-02-26 14:04:50,"0,497s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Titolo del contenuto""), 0)",,Verifica che esiste il titolo del contenuto in evidenza.,2019-02-26 14:04:50,2019-02-26 14:04:51,"0,410s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,Verifica che è presente la programmazione del contenuto.,2019-02-26 14:04:51,2019-02-26 14:04:51,"0,379s",PASSED
"getText(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,,2019-02-26 14:04:51,2019-02-26 14:04:52,"0,440s",PASSED
