Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-27 11:46:03,2019-02-27 11:46:57,"54,132s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-27 11:46:03,2019-02-27 11:46:57,"53,182s",FAILED
"startApplication(""C:\\Users\\MSA-testautomation\\59.apk"", false, CONTINUE_ON_FAILURE)",,,2019-02-27 11:46:04,2019-02-27 11:46:56,"52,522s",FAILED
"verifyElementExist(findTestObject(""Prelogin elements/Benvenuto in MySkyApp""), 30)",,,2019-02-27 11:46:56,2019-02-27 11:46:57,"0,104s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_2_FUNCTIONALITY_Accedi,,Tap su accedi,2019-02-27 11:46:57,2019-02-27 11:46:57,"0,311s",FAILED
"tap(findTestObject(""CTA/ACCEDI""), 30)",,,2019-02-27 11:46:57,2019-02-27 11:46:57,"0,035s",FAILED
