Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-26 14:44:11,2019-02-26 14:45:05,"53,446s",PASSED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-26 14:44:12,2019-02-26 14:44:41,"29,246s",PASSED
"startApplication(""C:\Users\MSA-testautomation\59.apk"", false)",,,2019-02-26 14:44:12,2019-02-26 14:44:41,"28,720s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_3_NAVIGATION_GTV_DTH_Wi-Fi,,Dalla homepage atterro nella sezione di Guida Tv ed effettuo un controolo sulla label della top bar.,2019-02-26 14:44:41,2019-02-26 14:44:53,"12,147s",PASSED
"tap(findTestObject(""Bottom Bar Elements/Guida TV""), 0)",,,2019-02-26 14:44:41,2019-02-26 14:44:45,"4,291s",PASSED
delay(5),,,2019-02-26 14:44:45,2019-02-26 14:44:50,"5,028s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/GUIDA TV""), 0)",,,2019-02-26 14:44:50,2019-02-26 14:44:53,"2,560s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_2_NAVIGATION_Hero_DTH_Wi-Fi,,Controllo degli elementi presenti nel contenuto in evidenza.,2019-02-26 14:44:53,2019-02-26 14:44:55,"2,429s",PASSED
"verifyElementAttributeValue(findTestObject(""Guida Tv/Hero Elements/Immagine""), ""resource-id"", ""it.sky.msa:id/heroImageImageView"", 0)",,Check se esite l'immagine del contenuto in evidenza.,2019-02-26 14:44:53,2019-02-26 14:44:54,"0,502s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Hero Elements/IN EVIDENZA""), ""IN EVIDENZA"")",,"Check se esite la label ""IN EVIDENZA""",2019-02-26 14:44:54,2019-02-26 14:44:54,"0,484s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Titolo del contenuto""), 0)",,Verifica che esiste il titolo del contenuto in evidenza.,2019-02-26 14:44:54,2019-02-26 14:44:55,"0,389s",PASSED
"verifyElementExist(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,Verifica che è presente la programmazione del contenuto.,2019-02-26 14:44:55,2019-02-26 14:44:55,"0,350s",PASSED
"getText(findTestObject(""Guida Tv/Hero Elements/Programmazione""), 0)",,,2019-02-26 14:44:55,2019-02-26 14:44:55,"0,415s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_4_NAVIGATION_SceltiPerTeQuestaSettimana_DTH_Wi-Fi,,"Navigazione della sezione ""Scelti per te questa settimana""",2019-02-26 14:44:55,2019-02-26 14:45:04,"8,683s",PASSED
"swipe(0, 0, 0, 1000)",,,2019-02-26 14:44:56,2019-02-26 14:44:58,"2,446s",PASSED
"getText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), 0)",,,2019-02-26 14:44:58,2019-02-26 14:44:59,"0,432s",PASSED
"verifyElementText(findTestObject(""Guida Tv/Section Elements/Scelti per te questa settimana""), ""Scelti per te questa settimana"")",,,2019-02-26 14:44:59,2019-02-26 14:44:59,"0,521s",PASSED
"swipe(0, 0, 100, 0)",,,2019-02-26 14:44:59,2019-02-26 14:45:02,"2,450s",PASSED
delay(0),,,2019-02-26 14:45:02,2019-02-26 14:45:02,"0,002s",PASSED
"swipe(0, 0, -100, 0)",,,2019-02-26 14:45:02,2019-02-26 14:45:04,"2,590s",PASSED
