Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-27 14:06:05,2019-02-27 14:06:45,"40,529s",PASSED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartAppLogged,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-27 14:06:05,2019-02-27 14:06:39,"33,421s",PASSED
"startApplication(""C:\\Users\\MSA-testautomation\\59.apk"", false, CONTINUE_ON_FAILURE)",,,2019-02-27 14:06:06,2019-02-27 14:06:34,"28,628s",PASSED
"verifyElementExist(findTestObject(""Bottom Bar Elements/Home""), 30)",,,2019-02-27 14:06:34,2019-02-27 14:06:39,"4,255s",PASSED
,,,,,,
Test Cases/Guida TV/Guida TV_3_NAVIGATION_GTV,,Dalla homepage atterro nella sezione di Guida Tv ed effettuo un controolo sulla label della top bar.,2019-02-27 14:06:39,2019-02-27 14:06:45,"6,152s",PASSED
"tap(findTestObject(""Bottom Bar Elements/Guida TV""), 60)",,,2019-02-27 14:06:39,2019-02-27 14:06:41,"1,569s",PASSED
"waitForElementPresent(findTestObject(""Guida Tv/Hero Elements/Immagine""), 30)",,,2019-02-27 14:06:41,2019-02-27 14:06:44,"3,839s",PASSED
"verifyElementExist(findTestObject(""Top Bar elements/GUIDA TV""), 0)",,,2019-02-27 14:06:44,2019-02-27 14:06:45,"0,432s",PASSED
