Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Prova,,PreLogin_1_FUNCTIONALITY_StartApp_DTH_Wi-Fi\nLogin_1_LOGIN_Correct_DTH_Wi-Fi,2019-02-27 10:11:58,2019-02-27 10:12:50,"52,396s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_1_FUNCTIONALITY_StartApp,,"Start msa application.
path application: C:\Users\MSA-testautomation\59.apk",2019-02-27 10:11:58,2019-02-27 10:12:50,"51,126s",FAILED
"startApplication(""C:\Users\MSA-testautomation\59.apk"", false)",,,2019-02-27 10:11:59,2019-02-27 10:12:50,"50,582s",FAILED
,,,,,,
Test Cases/Pre Login/PreLogin_2_FUNCTIONALITY_Accedi,,Tap su accedi,2019-02-27 10:12:50,2019-02-27 10:12:50,"0,461s",FAILED
"tap(findTestObject(""CTA/ACCEDI""), 0)",,,2019-02-27 10:12:50,2019-02-27 10:12:50,"0,107s",FAILED
